# ECG Data Recording
# Format: sample_number,time(s),voltage(V)
# Sample rate: ~200 Hz
# Target duration: 10 seconds
434,3.064406,2.512000
435,3.071448,1.960000
436,3.078490,2.406000
437,3.085530,2.306000
438,3.092573,1.806000
439,3.099614,2.382000
440,3.106638,2.064000
441,3.113679,1.696000
442,3.120726,2.338000
443,3.127765,1.870000
444,3.134809,1.680000
445,3.141850,2.274000
446,3.148892,1.742000
447,3.155934,1.772000
448,3.162973,2.204000
449,3.170013,1.652000
450,3.177054,1.910000
451,3.184094,2.140000
452,3.191134,1.600000
453,3.198174,2.034000
454,3.205217,2.042000
455,3.212259,1.560000
456,3.219301,2.140000
457,3.226340,1.908000
458,3.233379,1.524000
459,3.240419,2.196000
460,3.247456,1.786000
461,3.254498,1.556000
462,3.261540,2.190000
463,3.268581,1.674000
464,3.275622,1.650000
465,3.282661,2.134000
466,3.289701,1.578000
467,3.296740,1.770000
468,3.303782,2.050000
469,3.310823,1.496000
470,3.317864,1.888000
471,3.324904,1.954000
472,3.331944,1.448000
473,3.338983,1.988000
474,3.346023,1.812000
475,3.353064,1.390000
476,3.360105,2.032000
477,3.367145,1.650000
478,3.374184,1.368000
479,3.381224,2.014000
480,3.388265,1.522000
481,3.395305,1.436000
482,3.402347,1.974000
483,3.409388,1.430000
484,3.416428,1.570000
485,3.423467,1.918000
486,3.430506,1.366000
487,3.437547,1.706000
488,3.444586,1.836000
489,3.451626,1.316000
490,3.458667,1.828000
491,3.465706,1.732000
492,3.472747,1.294000
493,3.479786,1.932000
494,3.486826,1.614000
495,3.493865,1.298000
496,3.500905,1.974000
497,3.507946,1.512000
498,3.514986,1.366000
499,3.522023,1.940000
500,3.529084,1.406000
501,3.536160,1.498000
502,3.543217,1.898000
503,3.550262,1.350000
504,3.557305,1.660000
505,3.564346,1.856000
506,3.571388,1.332000
507,3.578425,1.808000
508,3.585466,1.758000
509,3.592530,1.298000
510,3.599576,1.914000
511,3.606621,1.634000
512,3.613669,1.286000
513,3.620723,1.954000
514,3.627771,1.504000
515,3.634814,1.326000
516,3.641854,1.920000
517,3.648894,1.394000
518,3.655934,1.430000
519,3.662975,1.850000
520,3.670015,1.286000
521,3.677055,1.538000
522,3.684096,1.758000
523,3.691137,1.220000
524,3.698178,1.674000
525,3.705218,1.700000
526,3.712260,1.236000
527,3.719333,1.826000
528,3.726383,1.598000
529,3.733427,1.268000
530,3.740468,2.026000
531,3.747509,1.722000
532,3.754549,1.528000
533,3.761589,2.076000
534,3.768630,1.418000
535,3.775676,1.262000
536,3.782766,1.658000
537,3.789822,1.126000
538,3.796871,1.400000
539,3.803915,1.698000
540,3.810955,1.178000
541,3.818002,1.622000
542,3.825078,1.682000
543,3.832138,1.216000
544,3.839196,1.808000
545,3.846237,1.608000
546,3.853285,1.232000
547,3.860329,1.904000
548,3.867378,1.516000
549,3.874425,1.292000
550,3.881467,1.952000
551,3.888507,1.462000
552,3.895548,1.444000
553,3.902588,1.960000
554,3.909628,1.424000
555,3.916667,1.620000
556,3.923709,1.936000
557,3.930749,1.398000
558,3.937795,1.794000
559,3.944881,1.886000
560,3.951938,1.406000
561,3.958985,1.978000
562,3.966435,1.790000
563,3.973484,1.436000
564,3.980525,2.118000
565,3.987565,1.710000
566,3.994605,1.502000
567,4.001647,2.126000
568,4.008687,1.604000
569,4.015728,1.576000
570,4.022768,2.020000
571,4.029804,1.432000
572,4.036844,1.614000
573,4.043883,1.848000
574,4.050923,1.266000
575,4.057963,1.642000
576,4.065001,1.666000
577,4.072041,1.156000
578,4.079082,1.704000
579,4.086122,1.500000
580,4.093200,1.094000
581,4.100246,1.758000
582,4.107286,1.372000
583,4.114326,1.132000
584,4.121366,1.792000
585,4.128405,1.300000
586,4.135482,1.264000
587,4.142532,1.786000
588,4.149580,1.254000
589,4.156625,1.440000
590,4.163676,1.750000
591,4.170721,1.202000
592,4.177763,1.586000
593,4.184804,1.680000
594,4.191844,1.180000
595,4.198885,1.720000
596,4.205926,1.576000
597,4.212967,1.160000
598,4.220007,1.812000
599,4.227044,1.456000
600,4.234178,1.170000
601,4.241252,1.826000
602,4.248314,1.336000
603,4.255356,1.266000
604,4.262418,1.800000
